title	pubDate	guid	link	description
Ukraine: 'We try to tell them the truth' - parenting in wartime	Sun, 06 Mar 2022 00:17:05 GMT	https://www.bbc.co.uk/news/world-europe-60632147	https://www.bbc.co.uk/news/world-europe-60632147?at_medium=RSS&at_campaign=KARANGA	In Ukraine, families are having to adapt to being at war. But what do you tell the children?
War in Ukraine: Russian helicopter shot down by missile	Sat, 05 Mar 2022 12:26:02 GMT	https://www.bbc.co.uk/news/world-europe-60630352	https://www.bbc.co.uk/news/world-europe-60630352?at_medium=RSS&at_campaign=KARANGA	The video, shared by Ukrainian armed forces, shows the helicopter being hit by a missile.
European peace seems as fragile as ever	Sat, 05 Mar 2022 00:36:11 GMT	https://www.bbc.co.uk/news/world-60622772	https://www.bbc.co.uk/news/world-60622772?at_medium=RSS&at_campaign=KARANGA	The shifting of European history's tectonic plates is not really that unexpected, explains Kevin Connolly.
War in Ukraine: Russians on boycotts, sanctions and cancellations	Fri, 04 Mar 2022 18:17:55 GMT	https://www.bbc.co.uk/news/world-europe-60585720	https://www.bbc.co.uk/news/world-europe-60585720?at_medium=RSS&at_campaign=KARANGA	Russia is being hit by a global backlash after it invaded Ukraine. How does it feel to be shunned?
Ukraine war: 'My city's being shelled, but mum wonâ€™t believe me'	Fri, 04 Mar 2022 18:32:49 GMT	https://www.bbc.co.uk/news/world-europe-60600487	https://www.bbc.co.uk/news/world-europe-60600487?at_medium=RSS&at_campaign=KARANGA	These Ukrainians say their Russian relatives only trust the narratives they see on TV at home.
Nuclear plant: How close was nuclear plant attack to catastrophe?	Fri, 04 Mar 2022 19:32:49 GMT	https://www.bbc.co.uk/news/world-60609633	https://www.bbc.co.uk/news/world-60609633?at_medium=RSS&at_campaign=KARANGA	After Russia seizes two nuclear plant sites, experts weigh the risk to Ukraine and the world at large.
Ukraine war: Why Kherson and Mariupol are key to Russian success	Fri, 04 Mar 2022 12:54:25 GMT	https://www.bbc.co.uk/news/world-europe-60604876	https://www.bbc.co.uk/news/world-europe-60604876?at_medium=RSS&at_campaign=KARANGA	There are both strategic and historical reasons why the offensive in southern Ukraine is vital for Russia.
The Papers: 'Running for their lives' as terror 'rains down'	Mon, 07 Mar 2022 05:22:30 GMT	https://www.bbc.co.uk/news/blogs-the-papers-60642348	https://www.bbc.co.uk/news/blogs-the-papers-60642348?at_medium=RSS&at_campaign=KARANGA	Civilian attempts to flee Ukrainian cities being targeted by Russian forces lead Monday's papers.
Ukraine invasion: Military couple marry on the frontline	Sun, 06 Mar 2022 19:00:39 GMT	https://www.bbc.co.uk/news/world-europe-60641868	https://www.bbc.co.uk/news/world-europe-60641868?at_medium=RSS&at_campaign=KARANGA	Lesya and Valeri, both civil defence volunteers, tied the knot at a checkpoint near Kyiv.
Ukraine invasion: The children with cancer fleeing war at home	Mon, 07 Mar 2022 00:02:05 GMT	https://www.bbc.co.uk/news/world-europe-60621253	https://www.bbc.co.uk/news/world-europe-60621253?at_medium=RSS&at_campaign=KARANGA	The NGO Herosi are trying to find places for the patients in medical care across Europe.
'They thought he was too young for heart disease'	Sun, 06 Mar 2022 09:14:03 GMT	https://www.bbc.co.uk/news/uk-england-cambridgeshire-60610329	https://www.bbc.co.uk/news/uk-england-cambridgeshire-60610329?at_medium=RSS&at_campaign=KARANGA	A mother whose son died from heart disease urges parents to know the signs and trust their instincts.
Zeebrugge: 'You had to cling on for your dear life'	Sun, 06 Mar 2022 00:19:31 GMT	https://www.bbc.co.uk/news/60608322	https://www.bbc.co.uk/news/60608322?at_medium=RSS&at_campaign=KARANGA	Lynette Lee survived the Zeebrugge ferry disaster 35 years ago - one that killed 193 people.
Belfast: The sounds of the city during Covid lockdowns	Sun, 06 Mar 2022 00:27:54 GMT	https://www.bbc.co.uk/news/uk-northern-ireland-60601083	https://www.bbc.co.uk/news/uk-northern-ireland-60601083?at_medium=RSS&at_campaign=KARANGA	A student at Queen's University Belfast used his daily walks to record the sounds of Covid lockdowns.
Mandibuloacral dysplasia: 'You feel guilty not wanting her to get older'	Sun, 06 Mar 2022 00:23:18 GMT	https://www.bbc.co.uk/news/uk-england-leicestershire-60587020	https://www.bbc.co.uk/news/uk-england-leicestershire-60587020?at_medium=RSS&at_campaign=KARANGA	The parents of five-year-old Isla say she is the only child in the world with a rare condition.
Man in dinghy in near miss with Southampton-bound container ship	Sun, 06 Mar 2022 17:11:51 GMT	https://www.bbc.co.uk/news/uk-england-hampshire-60639923	https://www.bbc.co.uk/news/uk-england-hampshire-60639923?at_medium=RSS&at_campaign=KARANGA	The moment a man swims out of the path of a container ship off Southampton is captured on a phone.
Why doesn't Ukraine attack the Russian convoy? And other questions	Fri, 04 Mar 2022 18:04:14 GMT	https://www.bbc.co.uk/news/world-60617145	https://www.bbc.co.uk/news/world-60617145?at_medium=RSS&at_campaign=KARANGA	Correspondents and experts answer questions from readers on the BBC News website
The sophisticated tech predicting if an advert will work	Mon, 07 Mar 2022 00:20:23 GMT	https://www.bbc.co.uk/news/business-60584596	https://www.bbc.co.uk/news/business-60584596?at_medium=RSS&at_campaign=KARANGA	Ad-testing firms are using real-time software, webcams to find out if ads resonate with customers.
Roman fort survey near Melrose aims to unveil more secrets	Sun, 06 Mar 2022 07:45:15 GMT	https://www.bbc.co.uk/news/uk-scotland-south-scotland-60602352	https://www.bbc.co.uk/news/uk-scotland-south-scotland-60602352?at_medium=RSS&at_campaign=KARANGA	Ground penetrating radar will give a clearer picture of the story of Trimontium in the Borders.
Russia oligarchs: The mega-rich men facing global sanctions	Sat, 05 Mar 2022 00:34:34 GMT	https://www.bbc.co.uk/news/uk-60593022	https://www.bbc.co.uk/news/uk-60593022?at_medium=RSS&at_campaign=KARANGA	President Putin has for years warned Russia's richest to protect themselves against sanctions.
From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower	Sat, 05 Mar 2022 16:37:11 GMT	https://www.bbc.co.uk/news/world-europe-60631433	https://www.bbc.co.uk/news/world-europe-60631433?at_medium=RSS&at_campaign=KARANGA	Russia answers resistance with big guns and sieges. Ukrainians pray that will not happen to them, writes the BBC's Jeremy Bowen in Kyiv.
Jane Campion: Power of the Dog director thrilled with her Hollywood comeback	Sun, 06 Mar 2022 00:13:54 GMT	https://www.bbc.co.uk/news/entertainment-arts-60562041	https://www.bbc.co.uk/news/entertainment-arts-60562041?at_medium=RSS&at_campaign=KARANGA	The award-winning director is championing women in Hollywood after a break away from the big screen.
BBC Ukrainian editor: 'My mother called to say she'd managed to buy bread'	Sun, 06 Mar 2022 01:02:02 GMT	https://www.bbc.co.uk/news/world-europe-60633888	https://www.bbc.co.uk/news/world-europe-60633888?at_medium=RSS&at_campaign=KARANGA	In the second week of war, the BBC's Ukrainian editor says empty shelves are an increasing reality.
War in Ukraine: Russian invasion fuels Finnish support for Nato	Sun, 06 Mar 2022 02:10:21 GMT	https://www.bbc.co.uk/news/world-europe-60626536	https://www.bbc.co.uk/news/world-europe-60626536?at_medium=RSS&at_campaign=KARANGA	President Putin's devastating attack on Ukraine leaves countries in the region worried about their future.
Identity: What does it mean to be Welsh?	Sun, 06 Mar 2022 08:10:02 GMT	https://www.bbc.co.uk/news/uk-wales-60590685	https://www.bbc.co.uk/news/uk-wales-60590685?at_medium=RSS&at_campaign=KARANGA	Two writers on being Welsh when your appearance does not "match an accepted aesthetic of Welshness".
Why Indian fathers are embracing paternity leave	Sun, 06 Mar 2022 00:37:57 GMT	https://www.bbc.co.uk/news/world-asia-india-60491095	https://www.bbc.co.uk/news/world-asia-india-60491095?at_medium=RSS&at_campaign=KARANGA	The pandemic and changing family structures have highlighted how young parents are struggling with childcare.
'Either they're not good enough or they don't care' - pundits react to Man Utd's derby display	Sun, 06 Mar 2022 20:22:45 GMT	https://www.bbc.co.uk/sport/football/60641764	https://www.bbc.co.uk/sport/football/60641764?at_medium=RSS&at_campaign=KARANGA	Manchester United legends savage the club's performance in their 4-1 derby defeat by Manchester City.
England bowler Robinson ruled out of first Test with back injury	Sun, 06 Mar 2022 18:54:31 GMT	https://www.bbc.co.uk/sport/cricket/60617043	https://www.bbc.co.uk/sport/cricket/60617043?at_medium=RSS&at_campaign=KARANGA	England seam bowler Ollie Robinson has been ruled out of the first Test against West Indies with a back injury.
Who's got his club buzzing again? - Garth's Team of the Week	Sun, 06 Mar 2022 22:36:21 GMT	https://www.bbc.co.uk/sport/football/60641470	https://www.bbc.co.uk/sport/football/60641470?at_medium=RSS&at_campaign=KARANGA	Who is a candidate for manager of the season? Who could play until he's 40? And who is back to their best? Find out in Garth Crooks' latest Team of the Week.
Welsh Open: Joe Perry beats Judd Trump to win title	Sun, 06 Mar 2022 21:55:52 GMT	https://www.bbc.co.uk/sport/snooker/60632805	https://www.bbc.co.uk/sport/snooker/60632805?at_medium=RSS&at_campaign=KARANGA	Joe Perry beats Judd Trump 9-5 to win the Welsh Open title for the first time at Celtic Manor Resort in Newport.
